author,category,content,datetime,keywords,title,url
林毅,生活,今年第24號颱風「潭美」在昨晚(21日)生成，且強度持續增強中，氣象達人彭啟明金早也在臉書表示「經過了一個晚上，颱風預測路徑又修正了，看來接近台灣路徑機會大增」。彭啟明在臉書粉專上PO文「經過一晚，颱風預測路徑又修正了，看來接近台灣路徑機會大增」，不過他也提醒，目前民眾暫時還不必太擔心，因為路徑還不是很穩定，要大家先好好過完中秋節再來擔心都來得及。潭美颱風未來會不會增強為強颱，以及究竟會不會侵襲台灣，都要在明後天才會比較明朗，而受到東北風影響，周日及下周一北部及東半部地區將會有雨，中南部地區則是多雲到晴、陣雨的氣候型態。(中時電子報),2018/09/22 08:30,,潭美颱風路徑有變化 彭啟明：接近台灣機會大增,https://www.chinatimes.com/realtimenews/20180922001017-260405?chdtv
黃菁菁,國際,大型強颱康芮5日上午襲擊沖繩，造成7人受傷。沖繩上午10點左右雖逐漸脫離暴風圈，但仍有強烈的暴風雨。日本氣象廳預測，康芮6日將維持強勁的勢力北上並近接近西日本，其後勢力更加增強並沿日本海北上，7日將接近北日本，也有登陸的可能性。沖繩本島4日晚間起風勢逐漸加強，本島的部分地區及久米島5日清晨進入暴風圈。渡嘉敷島4日晚間10點45分的最大瞬間風速達40.3公尺，那霸市5日觀測到的最大瞬間風速達36.2公尺。颱風5日上午將通過沖繩本島和宮古島之間，朝久米島的西北方北上，預測沖繩本島5日上午將脫離暴風圈。受到康芮颱風的影響，沖繩至5日清晨已有7人受傷，宜野灣市的80多歲女性因被強風吹倒導致腳部骨折。沖繩至5日上午5點半約有2萬4960戶停電。康芮颱風6日將接近九州北部，朝日本海方向北上，西日本和北日本的風雨將逐漸增強。日本6日起將進入3天連休假期，但日本海沿岸地區將是狂風暴雨的颱風天，康芮8日可能變為溫帶低氣壓。此外，北海道10月5日上午8點58分發生芮氏規模5.3、震度5弱的地震，震央在胆震地方中東部，與9月6日的震度7地震震央接近。氣象廳呼籲北海道的災區要嚴防因颱風的豪雨造成的土石流等二度災害。(中時 ),2018/10/05 10:03,,康芮颱風將北上襲擊西日本、北日本,https://www.chinatimes.com/realtimenews/20181005001341-260408?chdtv
江飛宇,國際,編號21號的燕子颱風正侵襲日本，這是25年來登陸日本的最強颱風，強風與豪雨已造成災情，路上汽車被掀翻，房屋的磚瓦被吹毀，輸配電線因強風而吹斷或短路。日本首相安倍晉三取消原定行程，專注防災。CNN報導，日本氣象廳研究員菊地昭博(Akihiro Kikuchi)表示，燕子颱風從四國的德島縣登陸，它的最強風速達到時速195公里，相當於16級風，這絕對是1993年以來最強的颱風。建在大阪灣裡的日本關西機場，經不住大雨和強風轟擊，停機坪和候機室都發生多處浸水，一艘89公尺長的油輪「本丸號」(Honmaru)還被強大的颱風，原本的錨地吹到關西機場的聯外橋樑，已造成橋樑部分受損，但現在無法處理，所幸沒有人因此受傷。日本首相安倍晉三原本要去福岡市視察博多港的新設施，之後還有一些輔選行程，現在全部取消，政府閣員以防災為上。日本官房長官菅義偉在記者會上向國民呼籲:「請國民關注最新氣象消息，並依照指示避難」。在今年7月，西日本發生罕見暴雨災難時，安倍忽略災情的嚴重，仍然出席自民黨議員聚會，飽受外界批評。(中時電子報),2018/09/04 16:25,,影》25年來最強颱風「燕子」侵襲日本,https://www.chinatimes.com/realtimenews/20180904002947-260408?chdtv
,生活,今年台灣周邊不僅有多個颱風生成，甚是生成的颱風強度都相當強烈，目前即將靠近台灣的強烈颱風山竹也是其中之一，對於今年颱風強度都相當強大在國外網站《Accu Weather》就指出主因為今年海水表面溫度都相當高，讓颱風有了良好的生長環境，因而出現許多強颱。圖中顯示今年全球的海水表面溫度都偏高，甚至部分地區還出現了接近32℃的高溫，氣象局預報員徐仲毅指出，有利於颱風生長的環境為，海水溫度高、海水熱含量高、大氣垂直風切小，就是有利於颱風生長環境。另外，目前強颱山竹正逐漸靠近台灣，徐仲毅指出不排除明(14日)清晨到上午，就會發布海上颱風警報，不過值得關注的是，不管海警是否發布，東半部、恆春半島、屏東地區、高雄山區及台南山區都會在15日出現大豪雨的情況，而台南以北地區則是會有出現焚風的情況，而北北基地區，則是會出現陣雨情況，提醒民眾需多加注意。(中時電子報),2018/09/13 17:57,,為何今年颱風都超級恐怖？ 一張圖大解密,https://www.chinatimes.com/realtimenews/20180913003963-260405?chdtv
,生活,強烈颱風瑪莉亞直撲台灣，中央氣象局副局長鄭明典今（9）日指出，預報路經應該只剩微調，不會再有大幅修訂。根據氣象局的各地區未來120小時暴風圈侵襲機率，基隆、台北、桃園、宜蘭遭侵襲機率高達9成以上，嘉義以北都有5成機率被瑪莉亞掃到。颱風瑪莉亞結構紮實，昨（8）日起有颱風暴風圈半徑擴大、速度明顯增快趨勢，雖然未來受到海域暖水層影響，颱風強度可能稍減弱，但接近台灣時仍達「強颱下限或中颱上限」強度，侵台威力不可小覷。氣象局的颱風消息指出，各地區從今日凌晨2時起未來120小時暴風圈侵襲機率：基隆、台北、桃園、宜蘭遭侵襲機率均高達90%以上；新竹、苗栗、花蓮機率超過80%，台中、彰化、南投有70%以上；雲林、嘉義、綠島介於60%到50%，台南、台東、高雄、屏東、恆春、蘭嶼介於40%到20%機率。氣象達人彭啟明提醒，明天外圍雲系就會陸續抵台，下午開始北部、東北部就會有雨勢，暴風圈壟罩台灣時間點可能落在明日下半天到後天中午，後天清晨是颱風中心最接近台灣陸地的時候。他指出，雖然颱風走得快，預期影響時間並不長，但要留意颱風離台灣北部陸地的遠近，對風雨衝擊相差很大，預期主要的降雨雲雨區將直接影響北部，暴風圈壟罩期間風勢會相當有感，提醒中部以北、宜蘭等各地朋友需嚴加戒備。(中時電子報),2018/07/09 09:20,,你家被颱風瑪莉亞掃到機率有多大？一張圖秒懂,https://www.chinatimes.com/realtimenews/20180709001217-260405?chdtv
廖德修,生活,今年入秋後首波鋒面及東北風將在周末（8日）報到，氣象局預報員張承傳表示，鋒面影響期間至下周一（10日），台灣附近天氣較不穩定，加上東北部外海有低壓雲系提供充足的水氣，北部和東北部首當其衝會有陣雨，甚至局部大雨或豪雨發生的機率，民眾假日出遊需帶雨具。張承傳又說，花東地區也會有短暫陣雨，中南部地區影響較小，但仍有局部短暫陣雨的機率。氣溫則會稍微下降，尤其北部和東北部高溫約在28℃至30℃，低溫可至23℃、24℃，早晚頗有涼意。周末剛好是農曆廿四節氣中的「白露」，亦即夜間會有露水產生，表示天氣已逐漸轉涼。氣象專家吳德榮也在個人臉書專欄提醒民眾，周六至下周一將有入秋第一股東北風南下，北台灣天氣轉涼、降雨明顯；中南部午後仍有局部雷陣雨，惟氣溫變化較小。時序已進入秋季，雖然東北風逐漸增加，但颱風季節尚未結束。天氣風險公司指出，日本氣象廳認為，目前在台灣東南方的熱帶性低氣壓（98W），將在未來24小時內發展為今年第22號颱風「山竹」；不過依移動路徑判斷，對台灣並無直接影響。雖然有的氣象模式並不看好它的發展性，但目前的環流狀態確實已經有模有樣。也因此周末的天氣相當熱鬧，除了今年首波鋒面來臨，可能還有熱帶低性低氣壓（或颱風）接近。而且在關島附近海面還有一些熱帶擾動形成，不過距離還很遙遠，會不會影響台灣目前言之過早，要到9月中旬或下周末（15日）才會接近台灣東部海面。(中時 ),2018/09/06 13:13,,首波鋒面周末報到 山竹颱風將形成,https://www.chinatimes.com/realtimenews/20180906002296-260405?chdtv
林郁庭,生活,"颱風潭美來勢洶洶，目前它身陷鞍型場，周二、周三時的移動速度幾乎是原地踏步。不過，根據氣象局預估，潭美目前路徑持續北偏，有持平或稍微減弱到中颱上限的趨勢。關於潭美移動路徑突北轉，引起許多鄉民在批踢踢上討論，「潭美颱風在怕什麼？」的真正原因，各種神解答案卻是讓人看了笑翻。批踢踢上有鄉民表示，潭美颱風「就一個走到台灣前面，然後一個轉彎欸」，之前歐洲模式本來還預估潭美有極高機率將成為穿心颱，結果直到現在觀測到的最新動態，卻變成可能直接跑到菲律賓或日本，不禁讓他困惑發問：「（潭美）颱風在怕什麼啊？」問題一出馬上引起鄉民腦筋急轉彎，紛紛神解出許多超有哏的回答，「 血汗鬼島 連颱風都會害怕」、「颱風自認沒有台灣價值所以先跑了」、「怕被慣老闆壓榨」、「一定怕賴神 上次一罵 神都會怕」、「小英德不配位，連颱風都不想來」、「未達放假標準自動轉彎」、「台灣今年很邊緣，連颱風都在閃」。還有人替日本感到同情，「不如問說，日本是裝了什麼 三小都吸過去」、「日本才是護國神島吧！」、「助日代表準備好了沒」、「所以叫""颱彎""」、「不想面對中央山脈吧」，不過也有許多人表示慶幸，「天佑台灣啊（感恩合十）」。(中時電子報)",2018/09/26 00:02,,潭美在台灣面前一個move轉彎 網笑：颱風在怕什麼？,https://www.chinatimes.com/realtimenews/20180926000014-260405?chdtv
尉遲佩玉,生活,今年第14號颱風「摩羯」昨天才剛形成，馬上又來一個緊追在後！中央氣象局預測，位於南海的低氣壓不排除增強為熱帶性低氣壓，最快周日形成今年第15號颱風「麗琵」，周六開始將為南部帶來水氣，降雨機率增加；今明兩天仍高溫炎熱，中午前後局部地區為高溫橙色或黃色燈號，有連續出現36度高溫的機率。氣象局指出，目前這個位於南海的低氣壓發展速度緩慢，若有機會形成颱風，最快也要周日以後，預估未來將往海南島、香港一帶移動，暫時對台灣沒有直接影響，不過由於其外圍雲系範圍較大，遍布南海地區，周六將為台灣南部帶來水氣，提高降雨機率。至於昨日形成的第14號颱風摩羯，根據氣象局「路徑潛勢預測圖」顯示，受到太平洋高壓推擠，逐漸脫離「珊珊」的牽引，轉向西北，離台灣陸地仍有段距離。「珊珊」已在日本本州東部近海，暴風圈今(9)日將掃過關東地區；明(10)日向東北逐漸加速，遠離日本。(中時電子報),2018/08/09 10:57,,又來一個！「麗琵」颱風最快周日生成 周六有雨,https://www.chinatimes.com/realtimenews/20180809001635-260405?chdtv
林郁庭,生活,山竹颱風於昨天早上轉為強烈颱風，其颱風眼明顯，路徑以每小時22公里速度向西北西進行，預計山竹颱風可能從菲律賓呂宋島的北側近海，往西通過巴士海峽。不過卻因太平洋高壓持續強勢，使得造成山竹颱風近日路徑持續偏南修正。臉書粉專「天氣風險公司」表示，山竹的「範圍、強度」仍都會非常大，整理出一張圖提醒民眾周六、日時的降雨趨勢。粉專「天氣風險公司」表示，雖然山竹颱風路徑又略微向南調整，但這個颱風「範圍、強度」都會非常大，台灣剛好在暴風圈的影響邊緣，中部以南和東南部都還是有被暴風圈籠罩的風險，海上颱風警報也預期在週五上午發布。「天氣風險公司」分析，就算山竹沒有直接影響台灣，其外圍環流仍然影響台灣，從圖中可見，周四時降雨從中部、東半部零星地區開始下起、台灣東半週五出現局部陣雨。到了周六時，台灣整個東半部至恆春半島降雨最劇，氣象局預報員劉沛滕也表示，預估東半部局部出現豪雨，約為200毫米，台南以北注意焚風。這波雨勢直到周日早上才會減緩，氣象局預估周日山竹往台灣海峽南邊移動，南部地區仍有大雨，或局部地區出現達200毫米的豪雨。另外，澎湖地區則是風浪大、偶有陣雨。(中時電子報),2018/09/12 21:11,,周末雨怎麼下？山竹颱風微南偏 仍對東部、恆春影響大,https://www.chinatimes.com/realtimenews/20180912004445-260405?chdtv
林毅,生活,受到太平洋高壓持續增強影響，強颱「山竹」路徑再度往南修，恐將直接登陸菲律賓呂宋島，對台灣的威脅也降低許多。氣象達人彭啟明在臉書表示「大家不必過於緊張，或是還期待會有颱風假，機率可以說是微乎其微。」原本預估山竹中心將會穿過巴士海峽，半徑280公里的七級暴風圈將會對南台灣造成不小威脅，不過隨著太平洋高壓持續增強延伸，山竹的路徑也不斷往南修，預料將直接登陸呂宋島，彭啟明說目前各國預測路徑都相當接近，暴風圈離台灣超過100公里，不會接觸到台灣，也因此不會直接影響台灣陸地，「大家不必過於緊張，或是還期待會有颱風假，機率可以說是『微乎其微』。」不過彭啟明表示，山竹結構完整，外圍環流範圍極大，週五下半天將會逐漸接觸東半部，明顯的東風風場加上水氣，從新北的東北角到宜蘭花蓮台東或恆春半島，都逐將會有雨勢，最強雨勢時間可能在周五深夜到周六清晨，直到周日颱風離開呂宋島後，才會明顯減弱。彭啟明也提醒：「東半部朋友有留意周六上半天雨勢可能會較大，整天都會受到干擾，要留意氣象局可能發布的雨勢預警。」(中時電子報),2018/09/13 14:50,,高壓又救場！山竹再往南偏 彭啟明：別肖想颱風假了,https://www.chinatimes.com/realtimenews/20180913002898-260405?chdtv
